id,year,name,date,position,game_id,posteam,ATT,COMP,FUM,HIT,INT,LONG,LST,PAT_Attempt,PAT_Made,PAT_percent,RATT,REC,RECTD,RECYDS,RTD,RYDS,SACK,TD,TGTS,YDS,attempt,long,longest,med,percent,short
00-0000108,2009,D.Akers,20090913,K,2009091302,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,36.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,620.0,11.0,13.766666666666666,20.0
00-0000108,2010,D.Akers,20100912,K,2010091210,PHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,1.0,676.0,9.0,11.716666666666665,22.0
00-0000108,2011,D.Akers,20110911,K,2011091110,SF,1.0,1.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,51.0,6.0,700.0,6.0,13.1,31.0
00-0000108,2012,D.Akers,20120909,K,2012090909,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,2.0,715.0,7.0,12.0,20.0
00-0000108,2013,D.Akers,20130908,K,2013090804,DET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,40.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,3.0,610.0,4.0,11.0,12.0
00-0000865,2009,C.Batch,20091122,RB,2009112205,PIT,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000865,2010,C.Batch,20100919,QB,2010091904,PIT,49.0,29.0,1.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,30.0,4.0,3.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000865,2011,C.Batch,20111204,RB,2011120405,PIT,24.0,15.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0000865,2012,C.Batch,20121125,QB,2012112501,PIT,70.0,45.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,475.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0001231,2010,J.Bidwell,20100912,RB,2010091212,WAS,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0001477,2009,M.Booker,20090920,WR,2009092000,ATL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,2.0,181.0,0.0,7.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0001545,2010,T.Bouman,20101024,QB,2010102403,JAC,34.0,18.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,1.0,3.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0
00-0001980,2009,K.Brown,20090920,K,2009092007,HOU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,41.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2.0,631.0,2.0,9.75,17.0
