Year,Coach,G,W,L,T,W-L%,G,W,L,Result,Offense,Defense,Team
2018,Doug Pederson,16,9,7,0,0.563,2,1,1,Lost Div,Mike Groh,Jim Schwartz,Eagles
2017,Doug Pederson,16,13,3,0,0.813,3,3,0,Won SB,Frank Reich,Jim Schwartz,Eagles
2016,Doug Pederson,16,7,9,0,0.438,,,,,Frank Reich,Jim Schwartz,Eagles
2015,Pat Shurmur,1,1,0,0,1,,,,,,Bill Davis,Eagles
,Chip Kelly,15,6,9,0,0.4,0,0,0,,Pat Shurmur,Bill Davis,Eagles
2014,Chip Kelly,16,10,6,0,0.625,0,0,0,,Pat Shurmur,Bill Davis,Eagles
2013,Chip Kelly,16,10,6,0,0.625,1,0,1,Lost WC,Pat Shurmur,Bill Davis,Eagles
2012,Andy Reid,16,4,12,0,0.25,0,0,0,,Marty Mornhinweg,"Todd Bowles, Juan Castillo",Eagles
2011,Andy Reid,16,8,8,0,0.5,0,0,0,,Marty Mornhinweg,Juan Castillo,Eagles
2010,Andy Reid,16,10,6,0,0.625,1,0,1,Lost WC,Marty Mornhinweg,Sean McDermott,Eagles
2009,Andy Reid,16,11,5,0,0.688,1,0,1,Lost WC,Marty Mornhinweg,Sean McDermott,Eagles
2008,Andy Reid,16,9,6,1,0.594,3,2,1,Lost Conf,Marty Mornhinweg,Jim Johnson,Eagles
2007,Andy Reid,16,8,8,0,0.5,0,0,0,,Marty Mornhinweg,Jim Johnson,Eagles
2006,Andy Reid,16,10,6,0,0.625,2,1,1,Lost Div,Marty Mornhinweg,Jim Johnson,Eagles
2005,Andy Reid,16,6,10,0,0.375,0,0,0,,Brad Childress,Jim Johnson,Eagles
2004,Andy Reid,16,13,3,0,0.813,3,2,1,Lost SB,Brad Childress,Jim Johnson,Eagles
2003,Andy Reid,16,12,4,0,0.75,2,1,1,Lost Conf,Brad Childress,Jim Johnson,Eagles
2002,Andy Reid,16,12,4,0,0.75,2,1,1,Lost Conf,Brad Childress,Jim Johnson,Eagles
2001,Andy Reid,16,11,5,0,0.688,3,2,1,Lost Conf,Rod Dowhower,Jim Johnson,Eagles
2000,Andy Reid,16,11,5,0,0.688,2,1,1,Lost Div,Rod Dowhower,Jim Johnson,Eagles
