Coach,Defense,Offense,Team,Week,Year
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,1,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,2,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,3,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,4,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,5,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,6,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,7,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,8,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,9,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,10,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,11,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,12,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,13,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,14,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,15,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,16,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,17,2012
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,1,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,2,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,3,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,4,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,5,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,6,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,7,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,8,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,9,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,10,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,11,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,12,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,13,2013
Gary Kubiak,Wade Phillips,Rick Dennison,Texans,14,2013
