away_mascot,home_mascot,Weather,Week,Wind,Year
Cowboys,Giants,74f Fair,1,0m N,2012
Dolphins,Texans,83f A Few Clouds,1,10m N,2012
Colts,Bears,70f Mostly Cloudy,1,11m N,2012
Eagles,Browns,68f Partly Cloudy,1,5m NNW,2012
Patriots,Titans,77f Fair,1,0m N,2012
Falcons,Chiefs,73f Fair,1,6m NNE,2012
Jaguars,Vikings,DOME,1,3m N,2012
Redskins,Saints,DOME,1,9m N,2012
Bills,Jets,77f Fair,1,4m W,2012
Rams,Lions,DOME,1,5m NNW,2012
49ers,Packers,71f Fair,1,6m NW,2012
Seahawks,Cardinals,DOME,1,12m E,2012
Panthers,Buccaneers,80f  Light Rain,1,5m NW,2012
Steelers,Broncos,82f A Few Clouds,1,9m SE,2012
Bengals,Ravens,60f Fair,1,0m N,2012
Bears,Packers,54f Fair,2,3m WSW,2012
Chiefs,Bills,68f Mostly Cloudy,2,13m SW,2012
Browns,Bengals,76f Fair,2,3m NW,2012
Vikings,Colts,DOME,2,3m N,2012
Saints,Panthers,70f Overcast,2,3m ESE,2012
Texans,Jaguars,85f Mostly Cloudy,2,9m E,2012
Cardinals,Patriots,71f Fair,2,11m WNW,2012
Buccaneers,Giants,75f Mostly Cloudy,2,8m W,2012
Ravens,Eagles,74f Fair,2,13m W,2012
Redskins,Rams,DOME,2,7m SSW,2012
Cowboys,Seahawks,71f Fair,2,6m WNW,2012
Raiders,Dolphins,83f Mostly Cloudy,2,7m E,2012
Jets,Steelers,71f Fair,2,5m ESE,2012
Titans,Chargers,80f Fair,2,8m SW,2012
Lions,49ers,62f Fair,2,2m SW,2012
Giants,Panthers,67f Partly Cloudy,3,0m N,2012
Rams,Bears,58f Mostly Cloudy,3,9m W,2012
Bills,Browns,51f Overcast,3,6m SSW,2012
Buccaneers,Cowboys,88f Clear,3,0m N,2012
Jets,Dolphins,79f   Thunderstorm in Vicinity Light Rain Fog/Mist,3,6m ENE,2012
49ers,Vikings,DOME,3,7m NW,2012
Chiefs,Saints,DOME,3,6m NNE,2012
Bengals,Redskins,67f Fair,3,10m NW,2012
Lions,Titans,68f A Few Clouds,3,8m NNW,2012
Jaguars,Colts,DOME,3,10m W,2012
Eagles,Cardinals,DOME,3,0m N,2012
Falcons,Chargers,83f NA,3,5m NW,2012
Texans,Broncos,86f Partly Cloudy,3,11m W,2012
Steelers,Raiders,68f Mostly Cloudy,3,15m WNW,2012
Patriots,Ravens,54f Overcast,3,0m N,2012
Browns,Ravens,67f Mostly Cloudy,4,0m N,2012
Panthers,Falcons,DOME,4,3m ESE,2012
Patriots,Bills,61f Mostly Cloudy,4,3m NNE,2012
Vikings,Lions,DOME,4,11m E,2012
Chargers,Chiefs,73f Fair,4,0m N,2012
Seahawks,Rams,DOME,4,5m NE,2012
49ers,Jets,67f Overcast,4,9m WSW,2012
Titans,Texans,67f  Light Drizzle,4,13m NNW,2012
Dolphins,Cardinals,DOME,4,8m SSE,2012
